,version,year,mean
0,Q90 ZEN CHARGE RAPIDE,2012,8185
1,Q90 ZEN CHARGE RAPIDE,2013,9203
2,Q90 ZEN CHARGE RAPIDE,2014,11036
3,Q90 ZEN CHARGE RAPIDE,2015,12009
4,Q90 ZEN CHARGE RAPIDE,2016,12174
5,Q90 ZEN CHARGE RAPIDE,2017,14033
6,Q90 INTENS CHARGE RAPIDE,2012,8564
7,Q90 INTENS CHARGE RAPIDE,2013,9929
8,Q90 INTENS CHARGE RAPIDE,2014,9625
9,Q90 INTENS CHARGE RAPIDE,2015,10624
10,Q90 INTENS CHARGE RAPIDE,2016,13274
11,Q90 INTENS CHARGE RAPIDE,2017,14162
12,Q90 ZEN,2013,9716
13,Q90 ZEN,2014,10809
14,Q90 ZEN,2015,10109
15,Q90 ZEN,2016,13174
16,Q90 ZEN,2017,14544
17,Q90 LIFE CHARGE RAPIDE,2012,8403
18,Q90 LIFE CHARGE RAPIDE,2013,8963
19,Q90 LIFE CHARGE RAPIDE,2014,10066
20,Q90 LIFE CHARGE RAPIDE,2015,10646
21,Q90 LIFE CHARGE RAPIDE,2016,11236
22,Q90 LIFE CHARGE RAPIDE,2017,12981
23,(2) R90 INTENS,2015,12015
24,(2) R90 INTENS,2016,13480
25,(2) R90 INTENS,2017,13625
26,(2) R90 INTENS,2018,15042
27,Q90 LIFE,2013,8005
28,Q90 LIFE,2014,9090
29,Q90 LIFE,2015,9945
30,Q90 LIFE,2016,12321
31,Q90 LIFE,2017,13363
32,Q90 INTENS,2013,10045
33,Q90 INTENS,2014,10484
34,Q90 INTENS,2015,11080
35,Q90 INTENS,2016,13094
36,Q90 INTENS,2017,13992
37,Q90 LIFE CHARGE RAPIDE TYPE 2,2012,8091
38,Q90 LIFE CHARGE RAPIDE TYPE 2,2013,9567
39,Q90 LIFE CHARGE RAPIDE TYPE 2,2014,9614
40,Q90 LIFE CHARGE RAPIDE TYPE 2,2015,10520
41,Q90 LIFE CHARGE RAPIDE TYPE 2,2016,12771
42,Q90 LIFE CHARGE RAPIDE TYPE 2,2017,13619
43,Q90 LIFE CHARGE RAPIDE TYPE 2,2018,13903
44,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,2014,11020
45,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,2015,10772
46,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,2016,12980
47,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,2017,13124
48,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,2018,16622
49,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2014,10098
50,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2015,13023
51,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2016,13577
52,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2017,13339
53,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2018,15846
54,Q90 INTENS CHARGE RAPIDE TYPE 2,2012,8083
55,Q90 INTENS CHARGE RAPIDE TYPE 2,2013,10074
56,Q90 INTENS CHARGE RAPIDE TYPE 2,2014,10570
57,Q90 INTENS CHARGE RAPIDE TYPE 2,2015,11781
58,Q90 INTENS CHARGE RAPIDE TYPE 2,2016,12889
59,Q90 INTENS CHARGE RAPIDE TYPE 2,2017,13996
60,Q90 INTENS CHARGE RAPIDE TYPE 2,2018,16781
61,(2) R90 ZEN,2015,11097
62,(2) R90 ZEN,2016,13590
63,(2) R90 ZEN,2017,13399
64,(2) R90 ZEN,2018,15342
65,Q90 ZEN CHARGE RAPIDE TYPE 2,2012,7725
66,Q90 ZEN CHARGE RAPIDE TYPE 2,2013,10045
67,Q90 ZEN CHARGE RAPIDE TYPE 2,2014,10484
68,Q90 ZEN CHARGE RAPIDE TYPE 2,2015,11080
69,Q90 ZEN CHARGE RAPIDE TYPE 2,2016,13094
70,Q90 ZEN CHARGE RAPIDE TYPE 2,2017,13992
71,Q90 ZEN CHARGE RAPIDE TYPE 2,2018,14648
72,R90 INTENS TYPE 2,2013,9340
73,R90 INTENS TYPE 2,2014,10771
74,R90 INTENS TYPE 2,2015,11587
75,R90 INTENS TYPE 2,2016,11479
76,R90 INTENS TYPE 2,2017,13524
77,R90 INTENS TYPE 2,2018,16387
78,R90 INTENS GAMME 2017,2014,10075
79,R90 INTENS GAMME 2017,2015,11538
80,R90 INTENS GAMME 2017,2016,12172
81,R90 INTENS GAMME 2017,2017,14195
82,R90 INTENS GAMME 2017,2018,16922
83,(2) R110 INTENS,2016,13650
84,(2) R110 INTENS,2017,14675
85,(2) R110 INTENS,2018,16052
86,R90 LIFE TYPE 2,2013,8321
87,R90 LIFE TYPE 2,2014,9101
88,R90 LIFE TYPE 2,2015,10613
89,R90 LIFE TYPE 2,2016,12760
90,R90 LIFE TYPE 2,2017,14183
91,R90 LIFE TYPE 2,2018,15662
92,(2) R75 LIFE,2015,11066
93,(2) R75 LIFE,2016,11264
94,(2) R75 LIFE,2017,13254
95,(2) R75 LIFE,2018,16204
96,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2014,11031
97,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2015,12064
98,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2016,12761
99,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2017,14217
100,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2018,14730
101,(2) R90 STAR WARS,2016,12308
102,(2) R90 STAR WARS,2017,13588
103,(2) R90 STAR WARS,2018,16435
104,R75 LIFE GAMME 2017,2014,10024
105,R75 LIFE GAMME 2017,2015,11066
106,R75 LIFE GAMME 2017,2016,11264
107,R75 LIFE GAMME 2017,2017,13254
108,R75 LIFE GAMME 2017,2018,16204
